Company,Country,Date,Months,Time,Rocket,Mission,Rocket Status,Price,Mission Status,
RVSN USSR,Kazakhstan,10/4/1957,October,7:28:00 PM,Sputnik 8K71PS,Sputnik-1,Retired,"$28,485,516.00 ",Success,
RVSN USSR,Kazakhstan,11/3/1957,November,8:28:00 PM,Sputnik 8K71PS,Sputnik-2,Retired,"$41,034,479.00 ",Success,
US Navy,USA,12/6/1957,December,9:28:00 PM,Vanguard,Vanguard TV3,Retired,"$12,789,116.00 ",Failure,
AMBA,USA,2/1/1958,October,10:28:00 PM,Juno I,Explorer 1,Retired,"$27,400,885.00 ",Success,
US Navy,USA,2/5/1958,November,11:28:00 PM,Vanguard,Vanguard TV3BU,Retired,"$45,372,317.00 ",Failure,
AMBA,USA,3/5/1958,December,12:28:00 AM,Juno I,Explorer 2,Retired,"$39,516,319.00 ",Failure,
US Navy,USA,3/17/1958,February,1:28:00 AM,Vanguard,Vanguard 1,Retired,"$39,021,889.00 ",Success,
AMBA,USA,3/26/1958,February,2:28:00 AM,Juno I,Explorer 3,Retired,"$30,314,643.00 ",Success,
RVSN USSR,Kazakhstan,4/27/1958,March,3:28:00 AM,Sputnik 8A91,Sputnik-3 #1,Retired,"$27,608,488.00 ",Failure,
US Navy,USA,4/28/1958,March,4:28:00 AM,Vanguard,Vanguard TV5,Retired,"$29,637,599.00 ",Failure,
RVSN USSR,Kazakhstan,5/15/1958,March,5:28:00 AM,Sputnik 8A91,Sputnik-3 #2,Retired,"$42,927,825.00 ",Success,
US Navy,USA,5/28/1958,April,6:28:00 AM,Vanguard,Vanguard SLV-1,Retired,"$43,062,324.00 ",Failure,
US Navy,USA,6/26/1958,April,7:28:00 AM,Vanguard,Vanguard SLV-2,Retired,"$13,166,411.00 ",Failure,
US Navy,USA,7/25/1958,May,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,"$43,346,577.00 ",Failure,
AMBA,USA,7/26/1958,May,3:00:00 PM,Juno I,Explorer 4,Retired,"$40,489,417.00 ",Success,
US Navy,USA,8/12/1958,June,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,"$32,309,564.00 ",Failure,
US Air Force,USA,8/17/1958,July,12:18:00 PM,Thor-DM 18 Able I,Pioneer 0,Retired,"$36,310,723.00 ",Failure,
US Navy,USA,8/22/1958,July,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,"$30,719,566.00 ",Failure,
AMBA,USA,8/24/1958,August,6:17:00 AM,Juno I,Explorer 5,Retired,"$42,500,274.00 ",Failure,
US Navy,USA,8/25/1958,August,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,"$40,202,907.00 ",Failure,
US Navy,USA,8/26/1958,August,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,"$28,435,509.00 ",Failure,
US Navy,USA,8/29/1958,August,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,"$14,748,089.00 ",Failure,
RVSN USSR,Kazakhstan,9/23/1958,August,7:40:00 AM,Vostok,E-1 n†­1 (Luna-1),Retired,"$19,417,957.00 ",Failure,
US Navy,USA,9/26/1958,August,3:38:00 PM,Vanguard,Vanguard SLV-3,Retired,"$30,209,342.00 ",Failure,
NASA,USA,10/11/1958,August,8:42:00 AM,Thor-DM 18 Able I,Pioneer 1,Retired,"$28,348,404.00 ",Partial Failure,
RVSN USSR,Kazakhstan,10/11/1958,September,9:41:00 PM,Vostok,E-1 n†­2 (Luna-1),Retired,"$13,453,549.00 ",Failure,
AMBA,USA,10/23/1958,September,3:21:00 AM,Juno I,Beacon 1,Retired,"$40,099,041.00 ",Failure,
NASA,USA,11/8/1958,October,7:30:00 AM,Thor-DM 18 Able I,Pioneer 2,Retired,"$24,760,209.00 ",Failure,
RVSN USSR,Kazakhstan,12/4/1958,October,6:18:00 PM,Vostok,E-1 n†­3 (Luna-1),Retired,"$35,029,295.00 ",Failure,
AMBA,USA,12/6/1958,October,5:44:00 AM,Juno II,Pioneer 3,Retired,"$45,475,370.00 ",Partial Failure,
US Air Force,USA,12/18/1958,November,11:02:00 PM,SM-65B Atlas,SCORE,Retired,"$41,394,100.00 ",Success,
RVSN USSR,Kazakhstan,1/2/1959,December,4:41:00 PM,Vostok,Luna-1,Retired,"$44,773,693.00 ",Partial Failure,
US Navy,USA,2/17/1959,December,3:55:00 PM,Vanguard,Vanguard 2,Retired,"$24,774,805.00 ",Success,
US Air Force,USA,2/28/1959,December,9:49:00 PM,Thor-DM18 Agena-A,Discoverer 1,Retired,"$44,485,173.00 ",Failure,
US Air Force,USA,4/13/1959,January,9:18:00 PM,Thor-DM18 Agena-A,Discoverer 2,Retired,"$13,112,870.00 ",Success,
US Navy,USA,4/14/1959,February,2:49:00 AM,Vanguard,Vanguard SLV-5,Retired,"$24,606,606.00 ",Failure,
US Air Force,USA,6/3/1959,February,8:09:00 PM,Thor-DM18 Agena-A,Discoverer 3,Retired,"$10,265,465.00 ",Failure,
RVSN USSR,Kazakhstan,6/18/1959,April,8:08:00 AM,Vostok,E-1A n†­1 (Luna-2),Retired,"$13,203,146.00 ",Failure,
US Navy,USA,6/22/1959,April,8:16:00 PM,Vanguard,Vanguard SLV-6,Retired,"$26,182,691.00 ",Failure,
